station_id,latitude,longitude,elevation,declination,declination_model,comments,channels_recorded,start_time,end_time,sample_rate,n_runs,instrument,mth5_file,duration_days
VIC048,-37.00121,143.49362,226.0,10.631,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-03-03 01:00:00+00:00,2014-04-13 06:30:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC048.h5,41.2298599537037
VIC049,-37.00853,144.0253,261.0,10.843,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-03-02 08:00:00+00:00,2014-04-12 22:32:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC049.h5,41.60624884259259
VIC050,-36.99714,144.48804,276.0,11.048,AGRF,A wrong site name VIC063 in the raw miniseed files.,"['bx', 'by', 'bz', 'ex', 'ey']",2014-03-04 08:00:00+00:00,2014-04-12 02:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC050.h5,38.79166550925926
VIC051R,-37.00905,144.988163,163.8,11.596,AGRF,"Unparsable data:
Filename: row number(s)
201712240000.TXT: 41267","['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2017-12-14 00:00:00+00:00,2018-01-20 23:59:59+00:00,1.0,2,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC051R.h5,37.99998842592593
VIC052,-37.00385,145.54587,520.0,11.835,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-07-25 07:00:00+00:00,2014-08-09 10:51:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC052.h5,15.161109953703702
VIC053,-37.04676,145.97553,431.0,11.687,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-07-26 01:30:00+00:00,2014-08-11 02:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC053.h5,16.062498842592593
VIC054,-36.99343,146.49712,928.0,11.87,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-01-22 03:00:00+00:00,2014-02-24 00:59:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC054.h5,32.91666550925926
VIC055,-37.01165,146.99582,621.0,12.082,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-04-09 03:00:00+00:00,2014-06-04 15:39:59.900000+00:00,10.0,4,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC055.h5,56.527776620370375
VIC056,-36.99378,147.46935,764.0,12.29,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-05-08 00:00:00+00:00,2014-06-03 08:59:59.900000+00:00,10.0,3,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC056.h5,26.374998842592593
VIC057,-36.982125,147.97188,1340.0,12.47,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2013-11-22 08:00:00+00:00,2014-01-15 20:56:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC057.h5,54.53958217592593
